week_number,volume,closing_price
51,77541600,77541600
50,40874500,40874500
49,61562900,61562900
48,52337900,52337900
47,56911400,56911400
46,69318700,69318700
45,46134500,46134500
44,59912700,59912700
43,42890800,42890800
42,36127100,36127100
41,36346600,36346600
40,32690400,32690400
39,40283600,40283600
38,55406000,55406000
37,37351000,37351000
36,44240800,44240800
35,31039700,31039700
34,50218000,50218000
33,41477400,41477400
32,37530500,37530500
31,32366400,32366400
30,22641900,22641900
29,29453200,29453200
28,32715700,32715700
27,39746400,39746400
26,48790400,48790400
25,73706800,73706800
24,38085500,38085500
23,43940700,43940700
22,31360800,31360800
21,22129500,22129500
20,28000200,28000200
19,20201600,20201600
18,30751200,30751200
17,24522100,24522100
16,23739400,23739400
15,29859300,29859300
14,24015800,24015800
13,28454700,28454700
12,52881600,52881600
11,25072200,25072200
10,38608400,38608400
9,32971500,32971500
8,27864000,27864000
7,26364000,26364000
6,37831000,37831000
5,18535800,18535800
4,31197000,31197000
3,29694500,29694500
2,33410400,33410400
1,22151300,22151300
